,1696063983.2686644,bytearray(b'g\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'Q\x07\xa6\x05\t\x00Q\x02'),bytearray(b'\t\x00\xe6\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.3235116,bytearray(b'g\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\x00\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xe6\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.3477082,bytearray(b'\x82\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\x00\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.370753,bytearray(b'\x82\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\x00\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.3932974,bytearray(b'\x82\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xef\x04l\x03\x00\xff'),bytearray(b'\x00\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.4156516,bytearray(b'\x9d\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf0\x04l\x03\x00\xff'),bytearray(b'u\x07\xa6\x05\t\x00R\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.4384894,bytearray(b'\x9d\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf0\x04l\x03\x00\xff'),bytearray(b'u\x07\xa6\x05\t\x00R\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.4615347,bytearray(b'c\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xec\x04l\x03\x00\xff'),bytearray(b'u\x07\xa6\x05\t\x00R\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.4846876,bytearray(b'c\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xec\x04l\x03\x00\xff'),bytearray(b'u\x07\xa6\x05\t\x00R\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.5070667,bytearray(b'w\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xd8\x04l\x03\x00\xff'),bytearray(b'u\x07\xa6\x05\t\x00R\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.5338693,bytearray(b'w\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xd8\x04l\x03\x00\xff'),bytearray(b'\x1f\x07\xa6\x05\t\x00P\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.5575716,bytearray(b'\xec\x08\x00\x00\xe1\x002\x00'),bytearray(b'\xbe\x05\xdc\x04l\x03\x00\xff'),bytearray(b'\x1f\x07\xa6\x05\t\x00P\x02'),bytearray(b'\t\x00\xe5\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
